t,x,y,z
0.298016,826.699951,414.69101,99.263802
0.308023,824.036987,369.255981,123.754997
0.317999,822.395996,317.997986,151.134995
0.328009,823.630005,269.027008,175.671997
0.33802,822.828003,235.112,189.432999
0.348006,819.889038,188.792007,209.499008
0.358002,819.629028,143.647003,230.720001
0.368026,818.777039,88.8284,253.668991
0.378012,818.40802,65.382797,254.837006
0.398011,816.305969,-20.665901,283.924988
0.407019,814.070007,-53.251698,288.924011
0.427011,811.367004,-142.436996,311.136993
,,,
0,750.291016,2664.340088,425.516998
0.010062,753.000977,2611.219971,415.807007
0.020013,754.299011,2475.889893,424.594025
0.029085,752.065002,2407.719971,414.281006
0.039096,752.03595,2343.219971,399.09198
0.049024,754.212036,2279.23999,386.77002
0.059021,752.116028,2217.619873,372.200989
0.068994,751.770996,2139.349854,362.579987
0.089039,752.330017,1977.040039,338.663025
0.099037,753.487,1891.459961,329.497986
0.109035,750.746033,1825.660034,309.361023
0.119032,748.916992,1793.589966,280.019989
0.129003,747.674011,1700.26001,271.950012
0.139041,745.375,1655.650024,243.593002
0.14901,744.139038,1569.419922,229.406006
0.159047,741.244995,1499.340088,211.235992
0.169006,742.005981,1432.219971,189.108994
0.197996,734.89502,1219.459961,129.746002
0.208033,732.364014,1185.359985,89.264603
0.21801,729.148987,1104.369995,74.442604
0.228023,728.143982,1060.969971,37.342701
0.23798,726.388,1010.540039,37.441902
0.258023,720.174011,934.25,78.198906
0.268023,718.921021,861.184021,115.459999
0.278018,715.098999,821.618958,134.281998
0.288015,714.02002,763.885986,159.147995
0.298013,710.250977,726.462036,175.230988
0.347012,701.125977,490.325989,253.47998
0.367014,695.119019,406.579987,275.512024
0.377004,692.744019,355.432983,290.166992
0.397006,686.807007,272.320984,303.725983
0.408023,683.089966,231.867996,308.212006
0.417041,680.787048,186.845001,313.52298
0.427072,679.674988,143.101013,315.669006
0.437088,676.029053,93.791801,322.513
0.447061,672.484009,46.327301,327.460999
0.457067,667.747986,17.2738,320.942993
0.486087,659.793945,-114.734001,322.286987
,,,
0,842.572998,2406.179932,415.085999
0.01006,846.533997,2300.97998,416.514008
0.02002,847.611023,2240.099854,399.06601
0.030016,852.891052,2180.380127,382.039001
0.040029,856.781006,2139.73999,360.759003
0.050018,859.277039,1979.619995,373.629974
0.060102,858.832031,1943.98999,346.080994
0.070026,863.483032,1845.140015,338.777008
0.100094,870.562988,1645.910034,278.90802
0.120032,877.287964,1519.359985,234.292999
0.129054,878.567993,1425.030029,223.061996
0.139007,877.129028,1349.290039,204.831009
0.149037,879.562988,1313.23999,167.611008
0.169067,880.692017,1183.410034,115.034996
0.189006,883.218994,1028.699951,73.841698
0.199037,885.140991,966.452026,44.250702
0.209041,885.265991,903.91803,23.744101
0.219022,884.436035,843.411011,52.983398
0.229036,882.73999,794.669983,76.827805
0.239086,882.864014,729.375,104.456001
0.249055,881.843994,693.383972,118.888
0.259043,881.210022,640.491028,142.790009
0.269057,880.423035,590.252991,158.493988
0.279052,881.231995,541.572998,173.715988
0.289106,879.643005,502.161987,184.873001
0.29805,880.070984,432.799011,211.712006
0.31807,877.937012,318.272003,243.486008
0.328068,876.489014,284.60199,246.434006
0.338054,875.108032,218.285995,268.355011
0.348042,873.731018,186.865997,267.746002
0.358061,872.921997,131.096008,279.309998
0.368098,871.478027,83.705299,285.731995
0.378044,871.990051,31.833101,291.987976
0.3881,870.531006,-12.7717,296.645996
0.398062,869.031006,-56.207298,296.854004
0.408111,865.505005,-108.712006,300.93399
,,,
0,808.078979,2663.22998,424.659027
0.010004,812.984009,2543.879883,438.199005
0.020014,818.986023,2471.73999,432.903992
0.030019,824.953979,2403.860107,422.513977
0.050007,832.781006,2235.830078,411.389008
0.059041,834.026978,2174.540039,399.165009
0.068991,840.627014,2098.870117,384.585999
0.089005,850.238037,1972.25,351.470001
0.098981,855.220032,1919.810059,330.89502
0.108978,857.414001,1853.899902,312.584991
0.119117,863.692993,1711.869995,323.910004
0.12898,866.743958,1637.689941,304.347015
0.139016,870.55896,1580.819946,280.46701
0.148984,873.216003,1539.140015,252.488998
